id,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
28,-0.141939124,0.717678014,-0.230650027,-0.713908443,-0.359468574,-0.398150981,0.066568832,-0.183906424
29,0.611513521,-0.506453716,1.337384302,-0.397344816,-0.028012732,-0.922538452,-0.350682569,-0.107241901
30,-0.91065349,-0.111376304,0.105080325,-0.763940604,-0.326049046,0.040336703,-0.031282102,-0.956035407
31,-0.141939124,1.171356681,1.174168951,NA,-1.491898243,-0.135217847,0.1671478,0.921797095
32,NA,NA,NA,NA,NA,NA,-1.925547417,1.427566413
33,0.793171934,-0.374739553,0.295150826,0.095548664,0.80183121,0.216100014,1.593090008,-1.79802575
34,1.028472457,0.546668038,0.295150826,-0.521729775,-0.662597223,-0.135217847,0.970490774,-0.400237967
35,-0.023042036,0.086090564,1.174168951,-0.413472959,0.293898883,0.128192467,1.1910564,-0.464051706
36,1.028472457,0.612444981,0.295150826,-0.427165904,0.320216649,-1.357961406,1.222142705,-1.736208065
37,0.098387335,-0.572319089,-0.394539839,-0.244735049,0.267334313,-0.922538452,NA,-1.142910344
38,-1.177681233,-0.045548794,-0.291647705,-0.647562944,0.779527032,-0.922538452,1.977465608,-0.400237967
39,1.028472457,-0.506453716,0.434335005,0.171904379,0.247245604,-0.922538452,1.744774205,-1.787422219
40,1.273560234,-0.341814436,0.57076589,-0.866577835,0.144586685,-0.485687322,1.977465608,-1.278079727
41,-0.023042036,0.480886211,0.480112179,-0.056413326,1.303074298,-0.5731689,1.274517649,-1.61419424
42,1.028472457,-0.045548794,0.200772798,-1.072640816,-0.462393207,-0.922538452,2.041022527,-0.717654487
43,0.017148243,-0.539385708,-1.046992805,-0.865939229,0.28064779,-0.222915811,0.970490774,-0.717654487
44,1.273560234,-0.934679891,-0.933782887,-1.010434384,-0.700776974,-1.270994077,4.780669214,-1.209254628
45,-0.410038842,-0.243047203,-1.162139544,-0.591968272,0.630348377,-0.047466868,-0.112044721,0.24653995
46,0.057623467,0.349307753,0.295150826,-0.533517682,-0.309498398,-0.5731689,-0.555016593,0.24653995
47,1.529201587,-0.572319089,0.008034115,0.865634736,-1.491898243,0.921178094,1.039297584,-1.37934571
48,0.793171934,-0.308890674,-0.499011867,-0.238388802,0.346292945,0.128192467,0.883819568,-1.016521572
49,0.180796123,-0.506453716,-0.933782887,-0.389071027,0.172333172,-0.135217847,1.964874256,-1.61419424
50,NA,NA,NA,-0.56176008,-0.462393207,-0.485687322,-0.580531961,1.185241518
51,0.566970481,-0.407666036,-0.090406925,-1.309775144,-0.180712619,0.040336703,-0.693082867,-0.570024901
52,0.793171934,-0.012637003,0.105080325,-0.527993877,-0.095657937,-0.003571631,0.051340634,-1.912636317
53,0.098387335,-0.21012748,-0.499011867,-0.181978912,0.28064779,0.040336703,0.538424225,-0.664024706
54,NA,NA,NA,-0.211858426,-1.23708436,0.480129398,0.893352259,0.24653995
55,-0.55770281,1.894167193,-0.499011867,-0.656400971,-1.310543102,-0.222915811,1.816795868,-1.61419424
56,0.13944361,1.171356681,-0.090406925,-0.697345526,-0.427626723,1.186391201,1.697477598,-1.142910344
57,0.349247939,1.204223377,0.295150826,-0.732440498,0.144586685,0.568240154,1.480269992,-1.853173079
58,-0.181025222,0.678217072,-1.162139544,-0.276328404,NA,NA,0.922095387,-1.278079727
59,0.435356613,0.020273483,-0.090406925,-1.243571104,-0.479954745,-0.222915811,1.119485932,-1.736208065
60,0.13944361,0.480886211,-0.605115927,-0.460306954,-0.515444145,0.832870097,0.752833077,-1.016521572
61,0.933217949,0.711101311,-0.291647705,NA,NA,NA,-1.84387271,1.456790689
