"","pop","dam","Corollawidth","Corollalength","Petallength","color492","nectaramt","nectarconc","Root","fdate"
"337",13,"AM_015",-0.0200240435537583,0.523068871303079,-0.49297497672333,-0.269147205936279,-0.380530765106792,-0.173289667517946,0.501682553143438,0.462976045478576
"338",13,"AM_015",0.285659483928785,0.0457943026261645,-0.0914732381778153,-0.483770460693002,NA,NA,0.483974263837395,0.66455691378617
"339",13,"AM_015",NA,NA,NA,-0.461679066915505,-2.21029626056613,0.320211868492624,-0.683781152055617,1.14288380148357
"340",13,"AM_016",NA,NA,NA,NA,-0.176917968980467,0.0713735946071644,-1.40806961036955,0.923114913248427
"341",13,"AM_016",1.08318566021352,1.48543797719315,-0.0914732381778153,-0.976173469155038,-0.0816226873617285,-0.0106463887147156,0.345370717620096,0.369626322176612
"342",13,"AM_016",-0.484586559176722,0.374713623054444,-0.811553058289259,-0.540679792009027,-0.254715761020093,0.830281728294043,-0.174944895326776,0.863238889711919
"343",13,"AM_016",0.649940689816207,0.404441249642757,0.100234208499797,-0.824358636167741,-0.233230037186132,-0.334062160423815,0.195632433395782,-0.732521528518793
"344",13,"AM_016",1.45422912748571,0.404441249642757,1.90213110098381,-0.96432049980184,-0.735182473262126,-0.649952726213493,0.353877700880803,0.840638556660471
"345",13,"AM_016",NA,NA,NA,-0.308258370636243,0.0730303069012354,-0.173289667517946,0.895012458997678,0.33265059717561
"346",13,"AM_016",0.916957785961322,1.60738923270438,0.286394368452923,-0.835355562526576,-0.335309632240536,-0.881880272264274,-0.885141656765191,-0.115894628272137
"347",13,"AM_016",0.13080072661595,1.05148643583966,0.467328760275164,-0.967680537386499,0.387465601028741,0.57319195966985,0.147098254540899,-0.786496137112999
"348",13,"AM_016",1.5022824388557,-0.592446011489089,-0.597411888420814,-0.241179167590636,0.287247276757238,-0.492953416282391,1.30193296714788,-0.914511547864665
"349",13,"AM_016",NA,NA,NA,NA,-0.108444559106479,-0.413743606477743,0.93476760470637,0.594218244393561
"350",13,"AM_016",NA,NA,NA,NA,NA,NA,-1.84269758205571,1.47376621479015
"351",13,"AM_017",NA,NA,NA,NA,-1.11736479180688,-0.173289667517946,-1.61203214060391,1.11399458636732
"352",13,"AM_017",-0.130611777830214,1.37026252948439,0.467328760275164,-0.763108939333025,-0.0419718097962768,0.153857458956056,-0.304248275579807,0.0920402504913876
"353",13,"AM_017",-0.0200240435537583,0.165812902124788,-0.390216069231189,-0.583373588007271,-0.571306433963738,0.0713735946071644,-0.0633346298194323,0.594218244393561
"354",13,"AM_017",1.1510097657346,0.582214803746489,-0.757340278922063,NA,-0.656001218750328,0.916886170858288,-1.52626535231809,1.18240920042449
"355",13,"AM_017",0.649940689816207,1.51417129478539,0.00509515419133349,-0.712134575273116,-0.422810427519867,-0.532381035500145,0.052000094530458,0.369626322176612
"356",13,"AM_017",0.364665781031886,1.91396023676136,0.286394368452923,NA,-0.554757495919435,-0.881880272264274,0.555335569735733,0.989815570457811
"357",13,"AM_017",0.246555534917298,0.700176086693681,0.643331476615957,-1.27447988645511,-1.02275324529598,0.446186219682026,-0.297192085051848,1.05219351379551
"358",13,"AM_017",NA,NA,NA,-0.453968856564546,-0.690832584532561,-0.881880272264274,NA,0.904464017113463
"359",13,"AM_017",1.08318566021352,0.255516174258203,0.286394368452923,-0.291540653638892,-0.656001218750328,0.320211868492624,-0.568522063494925,-1.34266343180266
"360",13,"AM_017",-0.484586559176722,1.91396023676136,1.14434018900691,-0.246619237470445,-0.365354444009656,-0.766454044411151,-0.671171086386985,1.18240920042449
"361",13,"AM_017",0.0548964633378763,1.31252807422399,0.467328760275164,-0.451252654299872,1.30853380022857,0.278450315232124,-0.555464840248731,0.369626322176612
"362",13,"AM_017",0.169129390258878,1.74318150940386,1.75744421954418,-0.620082551343978,0.176636142907671,-0.881880272264274,0.253113798969305,1.15368593514617
"363",13,"AM_017",-0.552829230149998,1.48543797719315,-0.597411888420814,-0.68620390307138,-0.365354444009656,-0.958231451163987,1.15073890472012,-1.02493559055847
"364",13,"AM_017",0.862574540697701,0.934804217074557,0.467328760275164,-0.172579987638465,0.252876013678284,-2.04487670394066,0.730673683660739,-1.44133560103766
"365",13,"AM_018",0.169129390258878,1.45668054176986,2.45092905196707,-0.301770310544425,NA,NA,-0.75228634017239,1.21458153166229
"366",13,"AM_018",0.325028436950384,0.905568529452783,1.45809461831948,-0.440488578913184,0.0289868008922901,-1.87151373704496,0.261402301713303,1.1320646431112
"367",13,"AM_018",2.05803778216858,0.374713623054444,0.555929183088881,-0.185565213514627,0.462600680106478,-1.55158530323051,0.0755332109592861,-1.52307907959197
"368",13,"AM_018",0.649940689816207,0.0457943026261645,-0.289080438468476,-0.572154325836767,0.0289868008922901,-0.294044992298712,3.20275741431136,-0.914511547864665
"369",13,"AM_019",NA,NA,NA,NA,NA,NA,-2.52723273767827,1.45998768073594
"370",13,"AM_019",0.325028436950384,1.39909292065174,0.643331476615957,-0.167101477956339,0.122361059108214,-0.173289667517946,-0.115870057925052,0.546845913973348
"371",13,"AM_019",1.45422912748571,0.165812902124788,-0.390216069231189,-0.505505123502827,NA,NA,-0.100941421481646,0.507064776821966
"372",13,"AM_019",NA,NA,NA,NA,NA,NA,-1.59790309683209,1.53204628989492
"373",13,"AM_019",NA,NA,NA,NA,NA,NA,-1.7811081955596,1.54228484254757
