PlantID,Rack,Block,Mom,Site,Site.num,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
AM_068_B_B,9,G,AM_068,Smiths,4,2.466666667,32.66666667,10.5,0.126,35,21,3.6,433
AM_132_2_A,71,G,AM_132,Smiths,4,3.166666667,41.16666667,11.83333333,0.1463,33,21,6.13,320
AM_132_2_B,87,G,AM_132,Smiths,4,2.583333333,41.33333333,9.333333333,0.0776,22.83333333,19.16666667,5.22,246
AM_132_B_A,46,G,AM_132,Smiths,4,NA,NA,NA,NA,NA,NA,5.97,719
AM_135_1_A,15,G,AM_135,Smiths,4,3,41,13.83333333,0.1175,27.33333333,20.66666667,6.71,593
AM_136_3_A,56,G,AM_136,Smiths,4,NA,NA,NA,NA,NA,NA,10.12,718
AM_136_B_A,43,G,AM_136,Smiths,4,3.033333333,43.66666667,13,0.6267,24,17.5,8.33,635
AM_136_B_B,43,G,AM_136,Smiths,4,NA,NA,NA,NA,24,19,9.2,734
AM_138_B_A,43,G,AM_138,Smiths,4,3.3,42.33333333,14.5,0.335,28.75,17.5,8.62,575
AM_139_1_A,67,G,AM_139,Smiths,4,2.75,41.33333333,10.83333333,0.2814,21,20,6.17,352
AM_139_1_B,43,G,AM_139,Smiths,4,3.5,42.83333333,16,NA,NA,NA,7.59,682
AM_139_1_C,28,G,AM_139,Smiths,4,2.333333333,44.66666667,12,0.0524,19,21,4.67,57
AM_139_1_D,41,G,AM_139,Smiths,4,2.533333333,44.83333333,13.5,0.0886,25,20.66666667,6.88,445
AM_139_1_E,64,G,AM_139,Smiths,4,2.833333333,41.66666667,10.33333333,NA,28,19.5,6.79,424
AM_141_1_A,89,G,AM_141,Smiths,4,3.033333333,44.66666667,8.666666667,0.1158,16.125,19.5,5.89,112
AM_142_B_A,9,G,AM_142,Smiths,4,NA,NA,NA,0.1056,15.66666667,21.66666667,NA,507
AM_144_1_D,17,G,AM_144,Smiths,4,3.133333333,40.33333333,11.16666667,0.1149,12,20.83333333,7.55,520
AM_144_4_B,30,G,AM_144,Smiths,4,2.833333333,41,10.16666667,0.0406,33.5,21.16666667,6.17,92
TJ_169_1_C,79,G,TJ_169,Cuchara,5,3.875,30.25,11,4,40,17.5,8.88,334
TJ_169_1_D,10,G,TJ_169,Cuchara,5,3.966666667,28.66666667,10.5,4,51.83333333,22.16666667,5.62,43
TJ_169_1_F,35,G,TJ_169,Cuchara,5,3.666666667,30.66666667,14,4,40.5,25.83333333,6.76,575
TJ_169_1_H,35,G,TJ_169,Cuchara,5,NA,NA,NA,NA,NA,NA,NA,92
TJ_169_1_I,46,G,TJ_169,Cuchara,5,3.533333333,27,11,4,75,22.75,5.04,NA
TJ_170_B_A,48,B,TJ_170,Cuchara,5,NA,NA,NA,NA,NA,NA,7.72,623
TJ_170_B_B,10,G,TJ_170,Cuchara,5,4.733333333,35,13.5,4,86.66666667,17.66666667,6.15,212
TJ_172_2_C,13,B,TJ_172,Cuchara,5,4.133333333,34.33333333,17.33333333,4,86.5,12.5,8.88,4
TJ_174_B_E,48,B,TJ_174,Cuchara,5,NA,NA,NA,4,40,19.5,7.57,587
TJ_174_B_F,90,G,TJ_174,Cuchara,5,3.666666667,30.66666667,10.66666667,4,51.25,16,7.83,467
TJ_174_B_G,88,G,TJ_174,Cuchara,5,NA,NA,NA,NA,NA,NA,8.26,3
TJ_176_1_B,48,B,TJ_176,Cuchara,5,3.666666667,32.33333333,16,4,87,19.66666667,5.68,194
TJ_176_3_A,48,B,TJ_176,Cuchara,5,4.466666667,30,15.66666667,4,79.33333333,21.5,6.4,161
TJ_177_2_B,50,B,TJ_176,Cuchara,5,NA,NA,NA,NA,NA,NA,11.08,605
TJ_177_2_D,39,B,TJ_176,Cuchara,5,NA,NA,NA,NA,NA,NA,9,646
TJ_179_1_E,50,B,TJ_179,Cuchara,5,3.233333333,35.33333333,12.5,4,54.33333333,19.83333333,4.84,184
TJ_179_1_F,14,G,TJ_179,Cuchara,5,3.416666667,31.83333333,11.16666667,4,51.2,21.7,5.71,43
TJ_179_2_A,49,B,TJ_179,Cuchara,5,NA,NA,NA,NA,NA,NA,8.27,695
TJ_179_2_C,49,B,TJ_179,Cuchara,5,NA,NA,NA,4,29.75,26.5,5.93,507
TJ_179_B_D,3,B,TJ_179,Cuchara,5,3.9,31.5,12,4,43,24,5.25,112
TJ_181_B_A,3,B,TJ_181,Cuchara,5,3.866666667,30.66666667,14,4,120.5,17.5,5.32,281
TJ_181_B_B,49,B,TJ_181,Cuchara,5,3.716666667,29.33333333,12.66666667,4,81,22.16666667,4.6,43
TJ_183_B_A,49,B,TJ_183,Cuchara,5,3.6,29.75,8.75,4,74.83333333,20.5,6.26,281
TJ_185_2_B,38,B,TJ_185,Cuchara,5,3.366666667,30,12.33333333,4,60.5,23.5,6.91,352
TJ_185_2_C,34,G,TJ_185,Cuchara,5,3.833333333,30.83333333,12.5,4,63.83333333,21.66666667,5.59,5
TJ_185_B_A,26,B,TJ_185,Cuchara,5,4.966666667,31.66666667,13.33333333,4,40,16,8.74,5
TJ_190_1_A,3,B,TJ_190,Cuchara,5,NA,NA,NA,NA,41,22.5,7.71,668
TJ_190_2_B,13,B,TJ_190,Cuchara,5,3.583333333,29.66666667,10.83333333,4,27.5,19.25,6.12,124
TJ_190_2_D,49,B,TJ_190,Cuchara,5,3.366666667,30,14,4,42.5,20.5,6.37,142
TJ_190_2_G,10,G,TJ_190,Cuchara,5,4.233333333,36.5,10.5,4,69.16666667,18.5,5.41,367
AM_025_2_A,90,G,AM_025,72med,8,NA,NA,NA,0.1826,17.33333333,18,6.18,445
AM_025_B_A,71,G,AM_025,72med,8,2.775,40.875,9.375,NA,NA,NA,8.69,212
AM_025_B_B,90,G,AM_025,72med,8,2.966666667,35.66666667,10.33333333,0.0744,27.33333333,19.33333333,5.15,713
AM_025_B_E,70,G,AM_025,72med,8,NA,NA,NA,0.2042,20.6,21.5,NA,112
AM_025_B_F,47,G,AM_025,72med,8,NA,NA,NA,NA,NA,NA,7.97,742
AM_025_B_G,41,G,AM_025,72med,8,2.9,43.33333333,12,0.2481,NA,NA,5.85,25
AM_025_B_H,71,G,AM_025,72med,8,3.166666667,43.33333333,11.66666667,0.3791,31,22,NA,334
AM_026_1_A,91,B,AM_026,72med,8,2.9,38.66666667,10.33333333,0.0561,33.66666667,19.5,6.67,246
AM_026_1_B,46,G,AM_026,72med,8,3,36.83333333,12.33333333,0.1576,37.75,19.75,6.29,477
AM_026_1_C,88,G,AM_026,72med,8,2.866666667,34.33333333,12,0.122,39.83333333,19.83333333,5.02,233
AM_026_2_A,35,G,AM_026,72med,8,NA,NA,NA,NA,NA,NA,6.66,706
AM_026_3_A,47,G,AM_026,72med,8,2.75,39.33333333,14,0.1848,40.25,19.25,4.13,267
AM_026_3_B,4,G,AM_026,72med,8,NA,NA,NA,NA,NA,NA,6.82,723
AM_026_B_A,54,G,AM_026,72med,8,2.6,38,11.16666667,0.0772,41.33333333,18.66666667,5.42,445
AM_026_B_B,65,G,AM_026,72med,8,3,41.66666667,12.16666667,0.2966,18,24.5,4.91,309
AM_026_B_C,6,G,AM_026,72med,8,3.033333333,39,12,0.0476,23.1,18.9,4.45,221
AM_026_B_F,8,G,AM_026,72med,8,2.9,35.41666667,12.75,0.12,19.16666667,18.16666667,5.52,417
AM_026_B_H,35,G,AM_026,72med,8,3.133333333,35.33333333,11,0.134,26,22,4.93,392
AM_026_B_J,9,G,AM_026,72med,8,NA,NA,NA,0.1142,17.66666667,21.16666667,8.85,674
AM_026_B_L,8,G,AM_026,72med,8,2.866666667,40.16666667,14.83333333,0.1235,25.33333333,20.66666667,5.25,445
AM_030_B_D,72,B,AM_030,72med,8,NA,NA,NA,NA,17,18,7.5,677
AM_037_1_A,18,G,AM_037,72med,8,2.916666667,39.33333333,10.5,0.059,19,21.5,5.09,112
AM_037_B_E,17,G,AM_037,72med,8,NA,NA,NA,NA,NA,NA,7.65,733
AM_043_2_B,26,B,AM_043,72med,8,2.7,39.33333333,9.666666667,0.233,28.5,20.16666667,5.69,352
AM_043_2_D,29,G,AM_043,72med,8,2.766666667,41.83333333,8.666666667,0.221,26,21.83333333,5.62,352
AM_043_2_E,15,G,AM_043,72med,8,2.75,37.66666667,10.16666667,0.1696,23.33333333,21,6.49,320
AM_043_B_A,5,G,AM_043,72med,8,NA,NA,NA,0.1154,8.5,21,5.89,638
AM_043_B_M,37,B,AM_043,72med,8,2.95,43,11.16666667,0.2636,31.83333333,19,6.14,367
AM_044_2_A,22,B,AM_044,72med,8,2.766666667,46,12.5,0.2341,23.5,21.33333333,6.61,528
