Pop,Dam,CorollaWidth,CorollaLength,PetalLength,Color,NectarAmt,NectarConc,Root,Fdate
4,AM_002,2.966666667,47.66666667,11.16666667,0.1184,17,22.33333333,4.9,194
4,AM_002,3.3,45.66666667,10.33333333,0.2121,21.16666667,19.16666667,6.46,320
4,AM_002,2.583333333,50.83333333,10.83333333,0.2523,11.83333333,20.83333333,5.62,507
4,AM_002,2.666666667,46.58333333,11,0.0833,NA,NA,NA,43
4,AM_002,3.2,45.5,11,0.0787,18.33333333,19.5,4.84,124
4,AM_003,2.966666667,45.16666667,11.33333333,0.0861,13.83333333,19.5,6.94,352
4,AM_003,3.033333333,46.5,10.16666667,0.2849,20.5,19.75,7.32,507
4,AM_003,2.95,47,13,0.2767,18,20.66666667,5.85,309
4,AM_003,NA,NA,NA,0.1726,19.66666667,21.5,5.2,49
4,AM_003,2.666666667,46.16666667,9.833333333,0.1491,16.75,18.75,6.43,221
4,AM_003,2.966666667,44.66666667,10,0.2384,20.83333333,20.16666667,4.73,13
4,AM_003,NA,NA,NA,NA,6.5,20,6.92,528
4,AM_003,2.8,42.33333333,8.666666667,NA,19.66666667,16.5,5.71,456
4,AM_003,2.65,56,8,NA,NA,NA,8.03,617
4,AM_003,NA,NA,NA,0.2856,25.83333333,20.16666667,4.91,281
4,AM_003,NA,NA,NA,NA,7.833333333,21.83333333,7.25,638
4,AM_003,3.1,46,10.66666667,0.1273,27.5,17.25,4.96,417
4,AM_003,3.233333333,43.66666667,11.33333333,0.2638,22.25,18.25,6.04,668
4,AM_003,2.8,42.16666667,7.5,0.511,24.33333333,17.5,6.9,547
4,AM_003,NA,NA,NA,NA,NA,NA,8.14,706
4,AM_003,2.7,42,10.83333333,0.2583,31.5,20,7.86,502
4,AM_003,NA,NA,NA,NA,NA,NA,7.22,731
4,AM_003,2.616666667,43.33333333,11.66666667,NA,NA,NA,6.73,627
4,AM_003,2.566666667,43.33333333,10.16666667,NA,NA,NA,7,638
4,AM_003,2.583333333,40.83333333,11.33333333,0.1382,16,20,6.35,507
4,AM_003,NA,NA,NA,NA,NA,NA,7.34,674
4,AM_003,NA,NA,NA,0.1472,7.166666667,20.33333333,6.1,575
4,AM_003,NA,NA,NA,NA,NA,NA,7.83,655
4,AM_004,2.866666667,38.66666667,9,NA,NA,NA,10.32,655
4,AM_004,2.65,39.83333333,10.66666667,0.1021,25.66666667,16.66666667,NA,424
4,AM_004,3.45,38.5,11,0.3258,NA,NA,9.96,575
4,AM_004,3.2,42.33333333,9.666666667,0.1018,22.5,19.83333333,5.96,292
4,AM_004,3.25,47.33333333,10,0.1243,34,18.83333333,7.57,392
4,AM_004,3.1,46,12.33333333,0.0875,32,18.5,6.69,445
4,AM_004,2.866666667,44.16666667,12.5,0.1228,20,20.5,NA,410
4,AM_004,2.816666667,42.66666667,12.66666667,0.105,14.16666667,20.66666667,7.62,543
4,AM_004,3.033333333,40.33333333,9.833333333,0.1364,14.83333333,20.33333333,7.93,489
4,AM_004,3.133333333,42.33333333,11.16666667,0.1237,10.33333333,20,5.72,184
4,AM_004,2.633333333,45.66666667,12,0.2327,27.66666667,18.5,NA,78
4,AM_004,2.633333333,41.66666667,12,0.1919,NA,NA,4.81,456
4,AM_004,2.833333333,43,11.5,0.2157,24.33333333,18.83333333,4.22,124
4,AM_004,2.775,41,12.5,0.1592,17.83333333,20,4.84,246
4,AM_004,2.5,38.33333333,11,0.2624,21.5,21,5.68,421
4,AM_004,NA,NA,NA,0.2563,NA,NA,5.03,352
4,AM_005,NA,NA,NA,NA,NA,NA,7.88,686
4,AM_005,2.45,44,10.66666667,0.1284,17.33333333,21.66666667,5.29,456
4,AM_005,3.033333333,44.33333333,11.83333333,NA,25.5,22.33333333,7.43,632
4,AM_006,2.966666667,45.16666667,9.666666667,NA,30,18.66666667,7.62,334
4,AM_006,2.5,53.33333333,10.66666667,0.281,28.66666667,20.66666667,7.42,401
4,AM_006,NA,NA,NA,0.2379,15,24,8.72,433
4,AM_006,2.666666667,43.66666667,8.333333333,0.2713,20.83333333,20.16666667,8.29,320
4,AM_006,2.833333333,44.08333333,10,0.5492,31.66666667,19.83333333,7.9,221
4,AM_006,3.233333333,41.5,8.666666667,0.3445,21.5,21,6.2,477
4,AM_006,2.783333333,41.16666667,7.666666667,0.1594,18.66666667,20.83333333,5.74,309
4,AM_006,2.883333333,45.66666667,12.66666667,0.3397,17.16666667,23.16666667,7.56,392
4,AM_006,2.825,47.16666667,10.83333333,0.2736,22.33333333,19.5,6.37,281
4,AM_006,3.066666667,46,11.5,0.4562,23.5,21,5.82,221
