"","Dam","Pop","CorollaWidth","CorolLalength","PetalLength","Color","NectarAmt","NectarConc"
"47","AM_110",6,0.349293399861123,-0.145430918849561,-0.0948854854164618,-0.492495074155653,-0.920112990398666,0.0735764136287506
"48","AM_111",6,0.216053735983673,0.377482863342507,-0.231375014436842,-0.526435621612842,-0.315366630613445,0.527563161476461
"49","AM_115",6,-0.650904096657708,0.0637381883271216,-0.0677158282337789,-0.128330697468252,-1.4391838909242,0.862322353943285
"50","AM_132",5,0.081534919906815,-0.259507733554621,0.0178387906668705,-0.6774729698027,0.390522958175461,0.172920220489442
"51","AM_135",5,-0.258398333415225,-0.308890674337527,1.72952711447978,-0.632919662363549,0.37213292725897,0.480129397697036
"52","AM_136",5,-0.334727766635062,0.217709307870159,1.33738430227916,0.486107611537341,0.102440281798118,-0.791059287283222
"53","AM_138",5,-0.910653490373062,-0.0455487938593522,2.02823492011912,0.00898305297413439,0.479429307408365,-1.18396759370047
"54","AM_139",5,0.328925095001066,0.099203858106351,1.03580935731365,-0.636136409082734,0.0211782559884348,0.282376196954919
"55","AM_141",5,-0.334727766635062,0.415099462707288,-1.16213954415512,-0.640661766363244,-0.667337761027188,-0.135217847342131
"56","AM_142",5,NA,NA,NA,-0.68896409507476,-0.720089488362943,1.0095345077566
"57","AM_144",5,-0.209129600023101,-0.374742280543432,0.098983071212045,-0.88562715574187,-0.188235270414295,0.656425513771246
"58","AM_146",1,0.775449976243679,0.0777800625282278,0.02158024649173,-0.529615000290621,0.0367190021611142,-0.38919810883631
"59","AM_149",1,1.7962530097061,0.875504602418617,-0.933782886694038,-0.193130096056407,-0.739554098507992,0.304058940101925
"60","AM_150",1,0.072817376174092,-0.449091198579639,-0.371363872622293,-0.645090867038338,-1.66099513169501,0.0190283879230563
"61","AM_151",1,0.314330881990355,0.151777153149154,-0.55169108626248,-0.415363622593104,-0.226467388389311,0.128522491948592
"62","AM_153",1,0.90292642434469,0.365272413680407,-1.05436610651478,-0.395561546599568,-0.277994302584701,0.0953882277731047
"63","AM_154",1,0.909375381844525,0.484469814040439,-0.0108336468846578,-0.354277183530279,-0.417330406156727,-0.220811685228048
"64","AM_155",1,-0.43977739271127,0.279572690407565,0.397886094075662,-0.356083771025062,-0.505664304802985,-0.497707125240257
"65","AM_156",1,0.599534118165934,0.0860063495599506,0.588156868017456,-0.279884689861895,0.144377623216026,0.0696915446256313
"66","AM_157",1,0.505261127715753,-0.210268803875237,-0.0762029485425534,-0.55772945635177,0.242162465466232,-0.844542369133535
"67","AM_158",1,0.430150853878754,-0.25628058583425,-0.458349871272916,-0.241511854439458,-0.185802558990506,-0.0320283959958707
"68","AM_159",1,0.486176583397976,-0.210143506377131,-0.161446156004694,-0.673249310954403,0.00142574436725973,0.0257005918363899
"69","AM_160",1,0.0370640260564282,0.993647561123562,-0.309362887194118,-0.636324154955089,-0.662124448939775,0.357785826058739
"70","AM_161",1,0.297212112072968,0.557624577902635,-0.536556819533192,-0.53196480085355,-0.294182591241734,-0.262545654667822
"71","AM_162",1,0.0135957909691137,0.107905790065283,0.408380184463279,0.0520319462661059,-1.1963341474276,0.202052312490129
"72","AM_163",1,1.07821434126511,0.171504227961425,-0.0690851411854529,-0.547312242997218,-0.229009016583156,-0.568192984018456
"73","AM_164",1,0.566970481124393,0.0531826695121059,0.570765890079438,-0.906121480988958,-0.378741393271529,-1.35649822358966
"74","AM_165",1,0.605214821288946,0.096860850687118,-0.0404376628288323,-0.23871297457714,-0.376074835978643,-0.326894295278014
"75","AM_166",1,0.336607154708496,0.686157566319651,-0.836194263049977,-0.341294076516037,-0.470547739437667,-0.0602846510674323
