pop,dam,Corollawidth,Corollalength,Petallength,color492,nectaramt,nectarconc,Root,fdate,ln_Corollawidth,ln_Corollalength,ln_Petallength,ln_color_adj,ln_nectaramt,ln_nectarconc,ln_Root,ln_fdate
4,AM_057,2.9,42,14,0.3653,24.5,20.5,6.5,489,1.064710737,3.737669618,2.63905733,-3.877545474,3.198673118,3.020424886,1.871802177,5.736572297
4,AM_057,3.525,42.25,11,0.1838,26.75,18.5,6.59,477,1.259880436,3.743604354,2.397895273,-4.398283865,3.286534473,2.917770732,1.885553349,6.345636361
4,AM_057,NA,NA,NA,NA,NA,NA,9.83,697,NA,NA,NA,NA,NA,NA,2.285438934,6.59441346
4,AM_057,NA,NA,NA,NA,NA,NA,8.86,NA,NA,NA,NA,NA,NA,NA,2.181546765,NA
4,AM_057,NA,NA,NA,NA,NA,NA,8.45,680,NA,NA,NA,NA,NA,NA,2.134166441,6.575075841
4,AM_057,NA,NA,NA,0.2697,NA,NA,5.01,477,NA,NA,NA,-3.860202671,NA,NA,1.611435915,6.345636361
4,AM_059,NA,NA,NA,0.2619,21.5,20,5.49,671,NA,NA,NA,-3.691453458,3.068052935,2.995732274,1.702928256,6.393590754
4,AM_059,NA,NA,NA,0.2035,NA,NA,5.85,467,NA,NA,NA,-4.275573521,NA,NA,1.766441661,5.648974238
4,AM_065,3.233333333,42.33333333,9.333333333,0.0989,28.83333333,21.16666667,4.04,233,1.173513597,3.745574798,2.233592221,-4.74215869,3.361532125,3.052427617,1.396244692,5.963579344
4,AM_067,2.866666667,45.83333333,11.33333333,0.216,26.5,21.33333333,6.3,309,1.053149915,3.825011628,2.427748236,-4.059404796,3.277144733,3.060270795,1.840549633,6.100318952
4,AM_067,3.083333333,43.33333333,13.33333333,0.8642,25.66666667,21.16666667,6.27,392,1.126011263,3.768922162,2.590267165,-2.757710596,3.245193133,3.052427617,1.835776355,6.230481448
4,AM_068,3.2,31.26666667,12.5,0.1848,39.83333333,19.66666667,4.9,142,1.16315081,3.442552567,2.525728644,-4.51709567,3.684704083,2.978925155,1.589235205,5.736572297
4,AM_068,3.533333333,46.83333333,13.66666667,0.1671,22,15.5,6.25,507,1.262241712,3.8465952,2.614959778,-4.693108721,3.091042453,2.740840024,1.832581464,5.840641657
4,AM_068,3.033333333,38.83333333,10.66666667,0.0708,35.66666667,20.66666667,3.97,102,1.109662125,3.659278984,2.367123614,-5.521799843,3.574216546,3.028522097,1.378766095,4.077537444
4,AM_068,2.466666667,32.66666667,10.5,0.126,35,21,3.6,433,0.902867712,3.48635519,2.351375257,-4.586747558,3.555348061,3.044522438,1.280933845,5.525452939
4,AM_132,3.166666667,41.16666667,11.83333333,0.1463,33,21,6.13,320,1.15267951,3.717628867,2.470920408,-4.587586558,3.496507561,3.044522438,1.81319475,5.099866428
4,AM_132,2.583333333,41.33333333,9.333333333,0.0776,22.83333333,19.16666667,5.22,246,0.949080555,3.721669277,2.233592221,-5.100227816,3.128221456,2.953172659,1.652497402,4.86753445
4,AM_132,NA,NA,NA,NA,NA,NA,5.97,719,NA,NA,NA,NA,NA,NA,1.786746927,6.502790046
4,AM_135,3,41,13.83333333,0.1175,27.33333333,20.66666667,6.71,593,1.098612289,3.713572067,2.627081139,NA,3.308106958,3.028522097,1.903598951,6.192362489
4,AM_136,NA,NA,NA,NA,NA,NA,10.12,718,NA,NA,NA,NA,NA,NA,2.314513664,6.495265556
4,AM_136,3.033333333,43.66666667,13,0.6267,24,17.5,8.33,635,1.109662125,3.776585035,2.564949357,-3.090940906,3.17805383,2.862200881,2.119863456,6.289715571
4,AM_136,NA,NA,NA,NA,24,19,9.2,734,NA,NA,NA,NA,3.17805383,2.944438979,2.219203484,6.556778356
4,AM_138,3.3,42.33333333,14.5,0.335,28.75,17.5,8.62,575,1.193922468,3.745574798,2.674148649,-3.899225042,3.358637767,2.862200881,2.154085085,6.120297419
4,AM_139,2.75,41.33333333,10.83333333,0.2814,21,20,6.17,352,1.011600912,3.721669277,2.3826278,-3.962335008,3.044522438,2.995732274,1.819698838,5.204006687
4,AM_139,3.5,42.83333333,16,NA,NA,NA,7.59,682,1.252762968,3.757316616,2.772588722,NA,NA,NA,2.026831591,6.419994928
4,AM_139,2.333333333,44.66666667,12,0.0524,19,21,4.67,57,0.84729786,3.799227511,2.48490665,-5.643610994,2.944438979,3.044522438,1.541159072,3.610917913
4,AM_139,2.533333333,44.83333333,13.5,0.0886,25,20.66666667,6.88,445,0.929535958,3.80295191,2.602689685,-5.084721768,3.218875825,3.028522097,1.928618652,5.572154032
4,AM_139,2.833333333,41.66666667,10.33333333,NA,28,19.5,6.79,424,1.041453875,3.729701449,2.335374915,NA,3.33220451,2.970414466,1.915450942,5.484796933
4,AM_141,3.033333333,44.66666667,8.666666667,0.1158,16.125,19.5,5.89,112,1.109662125,3.799227511,2.159484249,-4.51862973,2.780370863,2.970414466,1.773255998,4.189654742
4,AM_142,NA,NA,NA,0.1056,15.66666667,21.66666667,NA,507,NA,NA,NA,-4.73317021,2.751535313,3.075774981,NA,5.840641657
4,AM_144,3.133333333,40.33333333,11.16666667,0.1149,12,20.83333333,7.55,520,1.142097401,3.697178257,2.41293315,-4.734012622,2.48490665,3.036554268,2.021547563,5.866468057
4,AM_144,2.833333333,41,10.16666667,0.0406,33.5,21.16666667,6.17,92,1.041453875,3.713572067,2.319114395,-5.915697374,3.511545439,3.052427617,1.819698838,3.988984047
5,TJ_169,3.875,30.25,11,4,40,17.5,8.88,334,1.354545663,3.409496184,2.397895273,-1.103185151,3.688879454,2.862200881,2.183801557,5.153291594
